word_set,rule_set,affixes,r62_r63,n_signs,word_count,share_any_root,min_roots,median_roots,max_roots,mean_roots,share_paper_root,mean_paper_roots
shuffled,stated only,off,off,5,440,0.1023,0,0.0,7,0.3,0.0114,0.011
shuffled,stated only,off,off,6,200,0.015,0,0.0,3,0.04,0.0,0
shuffled,stated only,off,off,7,70,0.0,0,0.0,0,0,0.0,0
shuffled,stated only,off,off,8,20,0.0,0,0.0,0,0,0.0,0
shuffled,stated only,off,off,9,10,0.0,0,0.0,0,0,0.0,0
shuffled,stated only,off,off,16,10,0.0,0,0.0,0,0,0.0,0
shuffled,stated only,off,off,19,10,0.0,0,0.0,0,0,0.0,0
shuffled,stated only,off,off,all,3735,0.4568,0,0,51,3.97,0.0707,0.079
Linear A-like,stated only,off,off,2,2870,0.9906,0,14.0,51,16.39,0.2098,0.284
Linear A-like,stated only,off,off,3,2880,0.7149,0,3.0,52,7.09,0.1292,0.147
Linear A-like,stated only,off,off,4,1360,0.2654,0,0.0,43,1.29,0.036,0.036
Linear A-like,stated only,off,off,5,440,0.025,0,0.0,21,0.13,0.0045,0.005
Linear A-like,stated only,off,off,6,200,0.0,0,0.0,0,0,0.0,0
Linear A-like,stated only,off,off,7,70,0.0,0,0.0,0,0,0.0,0
Linear A-like,stated only,off,off,8,20,0.0,0,0.0,0,0,0.0,0
Linear A-like,stated only,off,off,9,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,stated only,off,off,16,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,stated only,off,off,19,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,stated only,off,off,all,7870,0.6701,0,4.0,52,8.8,0.1302,0.164
